symbol,entry_date,exit_date,entry_px,exit_px,shares,bars_held,ret_net,pnl_usd,exit_reason
CMCSK-201512,1994-01-07,1994-01-10,6.036602,6.084265,1656.56109,1,0.006485648821454193,64.90188775629213,target
SPLS-201709,1994-01-07,1994-01-13,1.470091,1.482125,6802.298768,4,0.006774994979459548,67.79737475945149,target
INEL-199805,1994-01-10,1994-01-12,22.698053,23.645597,439.807225,2,0.040288185878065264,402.46913121909165,price_action
CHIR-200604,1994-01-12,1994-01-13,20.141621,20.789141,498.014481,1,0.030704326016427252,308.2051306637877,target
FHCC-200501,1994-01-12,1994-01-13,5.712584,5.999962,1755.916107,1,0.048836731544322554,490.21532727203703,target
SEG-200011,1994-01-12,1994-01-14,11.604425,11.984121,864.396007,2,0.03127508845507343,313.9343530504575,target
JAVA-201001,1994-01-19,1994-01-27,3.36846,3.263587,3017.625945,6,-0.03248930833061314,-330.4769442847046,target
SEG-200011,1994-01-19,1994-01-20,11.030934,11.286946,921.47702,1,0.02177704300297978,221.513199171437,target
AKLMQ-200808,1994-01-24,1994-01-28,21.559453,20.179727,470.81181,4,-0.06530586485796219,-663.3476280471205,target
DELL-201310,1994-01-24,1994-01-28,0.353254,0.323943,28734.147034,4,-0.0842566761743998,-855.8414532750503,target
FHCC-200501,1994-01-24,1994-01-25,5.510708,5.544199,1841.949253,1,0.004669840010995907,47.43413629680981,target
INEL-199805,1994-01-25,1994-01-26,23.208249,24.402031,434.970864,1,0.049966836215581845,504.7639149379647,target
NXTL-200508,1994-01-25,1994-01-26,19.89971,20.871657,507.289411,1,0.047374888334253074,478.58011266059293,target
SNPL-199412,1994-01-25,1994-01-26,27.411754,28.358665,368.269481,1,0.03309664810546886,334.3416340582917,target
IDBX-199412,1994-01-26,1994-01-27,16.50766,17.163265,616.289882,1,0.0382606060261268,389.5168854516396,target
CRUS,1994-02-04,1994-02-07,20.668591,20.711182,492.409028,1,0.0006587637218773423,6.709195519890272,target
DIGI-199809,1994-02-04,1994-02-07,28.804245,28.894641,353.329894,1,0.0017348960839462801,17.66909234272498,target
IRIC-200312,1994-02-04,1994-02-08,31.5,27.004087,323.092086,2,-0.14392673625518726,-1465.8254272471968,target
